Full Journal Title	Abbre1（Endnote来源）	Abbre2（Endnote来源）	Abbre3（Endnote来源）
PERCEPTION	#N/A	Perception	"Perception,1.503"
PERCEPTION	#N/A	Perception	"Perception,1.503"
AUSTRALIAN PSYCHOLOGIST	Aust. Psychol.	Aust Psychol	"Aust Psychol,1.412"
Avian Conservation and Ecology	#N/A	Avian Conservation And Ecology	"Avian Conservation And Ecology,2.138"
Danish Medical Journal	Dan. Med. J.	Dan Med J	"Dan Med J,1.170"
JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH	J. Obstet. Gynaecol. Res.	J Obstet Gynaecol Res	"J Obstet Gynaecol Res,1.122"
JOURNAL OF REINFORCED PLASTICS AND COMPOSITES	#N/A	J Reinf Plast Composite	"J Reinf Plast Composite,1.786"
AUSTRALASIAN PLANT PATHOLOGY	#N/A	Australas Plant Pathol	"Australas Plant Pathol,1.106"
CORROSION REVIEWS	#N/A	Corros Rev	"Corros Rev,2.528"
Discourse & Communication	#N/A	Discourse & Communication	"Discourse & Communication,0.983"
GRANA	#N/A	Grana	"Grana,0.907"
International Transactions on Electrical Energy Systems	#N/A	International Transactions On Electrical Energy Systems	"International Transactions On Electrical Energy Systems,1.314"
Progress in Development Studies	#N/A	Progress In Development Studies	"Progress In Development Studies,1.125"
Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability	#N/A	Proceedings Of The Institution Of Mechanical Engineers Part O-Journal Of Risk And Reliability	"Proceedings Of The Institution Of Mechanical Engineers Part O-Journal Of Risk And Reliability,1.313"
Astin Bulletin	#N/A	Astin Bull	"Astin Bull,1.017"
Astin Bulletin	#N/A	Astin Bull	"Astin Bull,1.017"
Balkan Medical Journal	#N/A	Balkan Medical Journal	"Balkan Medical Journal,1.203"
COMPOSITE INTERFACES	#N/A	Compos Interface	"Compos Interface,2.025"
ECONOMICS AND PHILOSOPHY	#N/A	Econ Phil	"Econ Phil,1.000"
IBM JOURNAL OF RESEARCH AND DEVELOPMENT	#N/A	Ibm J Res Develop	"Ibm J Res Develop,0.790"
CUAJ-Canadian Urological Association Journal	#N/A	Cuaj-Canadian Urological Association Journal	"Cuaj-Canadian Urological Association Journal,1.253"
European Journal of Wood and Wood Products	#N/A	European Journal Of Wood And Wood Products	"European Journal Of Wood And Wood Products,1.901"
FOLIA PARASITOLOGICA	Folia Parasitol.	Folia Parasitol (Praha)	"Folia Parasitol (Praha),1.405"
Journal of Sexual Aggression	#N/A	Journal Of Sexual Aggression	"Journal Of Sexual Aggression,1.527"
OPTICAL ENGINEERING	#N/A	Opt Eng	"Opt Eng,1.209"
CHILDS NERVOUS SYSTEM	#N/A	Child Nerv Syst	"Child Nerv Syst,1.327"
ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES	#N/A	Ann Inst Henri Poincare-Prob	"Ann Inst Henri Poincare-Prob,1.152"
CANADIAN JOURNAL OF CHEMISTRY	Can. J. Chem.	Can J Chem	"Can J Chem,1.252"
Cross Cultural Management-An International Journal	#N/A	Cross Cultural Management-An International Journal	#N/A
Journal of Science Education and Technology	#N/A	Journal Of Science Education And Technology	"Journal Of Science Education And Technology,1.785"
Journal of Science Education and Technology	#N/A	Journal Of Science Education And Technology	"Journal Of Science Education And Technology,1.785"
POETICS	#N/A	Poetics	"Poetics,1.522"
Transnational Environmental Law	#N/A	Transnational Environmental Law	"Transnational Environmental Law,1.758"
INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING	#N/A	Int J Satell Commun Netw	"Int J Satell Commun Netw,1.633"
JOURNAL OF CURRICULUM STUDIES	#N/A	J Curriculum Stud	"J Curriculum Stud,1.420"
LYMPHOLOGY	Lymphology	Lymphology	"Lymphology,0.674"
NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS	#N/A	Numer Method Partial Differ E	"Numer Method Partial Differ E,1.633"
Analytical Cellular Pathology	Anal. Cell. Pathol.	Anal Cell Pathol	"Anal Cell Pathol,1.788"
BIORHEOLOGY	Biorheology	Biorheology	"Biorheology,0.933"
International Journal of Mining Reclamation and Environment	#N/A	International Journal Of Mining Reclamation And Environment	"International Journal Of Mining Reclamation And Environment,1.727"
ARCHIV FUR MOLLUSKENKUNDE	#N/A	Archiv Fur Molluskenkunde	"Archiv Fur Molluskenkunde,0.778"
CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS	Camb. Q. Healthc. Ethics	Camb Q Healthc Ethics	"Camb Q Healthc Ethics,0.941"
CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS	Camb. Q. Healthc. Ethics	Camb Q Healthc Ethics	"Camb Q Healthc Ethics,0.941"
International Journal of Polymer Science	#N/A	International Journal Of Polymer Science	"International Journal Of Polymer Science,1.892"
JOURNAL OF MATHEMATICAL PHYSICS	#N/A	J Math Phys-Ny	"J Math Phys-Ny,1.355"
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY	J. Oper. Res. Soc.	J Oper Res Soc	"J Oper Res Soc,1.754"
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY	J. Oper. Res. Soc.	J Oper Res Soc	"J Oper Res Soc,1.754"
American Journal of Audiology	#N/A	American Journal Of Audiology	"American Journal Of Audiology,1.340"
JOURNAL OF ENGINEERING MATHEMATICS	#N/A	J Eng Math	"J Eng Math,1.146"
JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY	#N/A	J Pediat Hematol Oncol	"J Pediat Hematol Oncol,0.947"
Journal of Oleo Science	#N/A	Journal Of Oleo Science	"Journal Of Oleo Science,1.208"
BIOMETRICAL JOURNAL	#N/A	Biom J	"Biom J,1.255"
Journal of Web Semantics	#N/A	J Web Semant	"J Web Semant,2.429"
R Journal	#N/A	R Journal	"R Journal,2.682"
STATISTICAL MODELLING	#N/A	Stat Model	"Stat Model,1.026"
VETERINARY CLINICS OF NORTH AMERICA-FOOD ANIMAL PRACTICE	#N/A	Vet Clin N Amer-Food Anim Pr	"Vet Clin N Amer-Food Anim Pr,1.539"
DENTAL MATERIALS JOURNAL	Dent. Mater. J.	Dent Mater J	"Dent Mater J,1.424"
GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE	#N/A	Group Dyn-Theory Res Pract	"Group Dyn-Theory Res Pract,1.189"
JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY	#N/A	J Adhes Sci Technol	"J Adhes Sci Technol,1.210"
ADVANCED NONLINEAR STUDIES	#N/A	Adv Nonlinear Stud	"Adv Nonlinear Stud,1.650"
AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION	Aust. J. Pub. Admin.	Aust J Pub Admin	"Aust J Pub Admin,1.311"
ANTHROZOOS	#N/A	Anthrozoos	"Anthrozoos,1.200"
ANTHROZOOS	#N/A	Anthrozoos	"Anthrozoos,1.200"
Bulletin of the Peabody Museum of Natural History	#N/A	Bulletin Of The Peabody Museum Of Natural History	"Bulletin Of The Peabody Museum Of Natural History,1.240"
Central European Journal of Geosciences	#N/A	Central European Journal Of Geosciences	#N/A
HELVETICA CHIMICA ACTA	Helv. Chim. Acta	Helv Chim Acta	"Helv Chim Acta,1.394"
JOURNAL D ANALYSE MATHEMATIQUE	#N/A	J Anal Math	"J Anal Math,0.718"
JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH	J. Asian Nat. Prod. Res.	J Asian Nat Prod Res	"J Asian Nat Prod Res,1.170"
PRESSE MEDICALE	Presse Med.	Presse Med	"Presse Med,1.167"
Studies in Conflict & Terrorism	#N/A	Studies In Conflict & Terrorism	"Studies In Conflict & Terrorism,1.703"
Ukrainian Journal of Physical Optics	#N/A	Ukrainian Journal Of Physical Optics	"Ukrainian Journal Of Physical Optics,0.804"
BERNOULLI	#N/A	Bernoulli	"Bernoulli,1.393"
GEBURTSHILFE UND FRAUENHEILKUNDE	Geburtshilfe Frauenheilkd.	Geburtshilfe Frauenheilkd	"Geburtshilfe Frauenheilkd,1.312"
Johnson Matthey Technology Review	#N/A	Johnson Matthey Technology Review	"Johnson Matthey Technology Review,1.296"
Journal of Health Organization and Management	#N/A	Journal Of Health Organization And Management	"Journal Of Health Organization And Management,1.306"
Processing and Application of Ceramics	#N/A	Processing And Application Of Ceramics	"Processing And Application Of Ceramics,0.976"
AMERICAN JOURNAL OF PHYSICS	#N/A	Amer J Phys	"Amer J Phys,1.194"
INDIAN JOURNAL OF DERMATOLOGY	Indian J. Dermatol.	Indian J Dermatol	"Indian J Dermatol,1.411"
International Journal of Clinical and Experimental Medicine	Int. J. Clin. Exp. Med.	Int J Clin Exp Med	"Int J Clin Exp Med,0.181"
JOURNAL OF HOUSING ECONOMICS	#N/A	J Hous Econ	"J Hous Econ,1.640"
Pharmacognosy Magazine	Pharmacogn. Mag.	Pharmacogn Mag	"Pharmacogn Mag,1.260"
DEFENCE AND PEACE ECONOMICS	#N/A	Defence Peace Economics	"Defence Peace Economics,1.062"
EXPERIMENTAL AGRICULTURE	Exp. Agric.	Exp Agric	"Exp Agric,2.089"
INTERNATIONAL JOURNAL OF GEOMETRIC METHODS IN MODERN PHYSICS	#N/A	Int J Geom Methods Mod Phys	"Int J Geom Methods Mod Phys,1.022"
Mammal Research	#N/A	Mammal Research	"Mammal Research,1.119"
Materials Research Express	#N/A	Materials Research Express	"Materials Research Express,1.449"
PSYCHOANALYTIC PSYCHOLOGY	Psychoanal. Psychol.	Psychoanal Psychol	"Psychoanal Psychol,0.828"
FOUNDATIONS OF PHYSICS	#N/A	Found Phys	"Found Phys,1.344"
Information Technology & Management	#N/A	Information Technology & Management	"Information Technology & Management,1.265"
JOURNAL OF EMPLOYMENT COUNSELING	#N/A	J Employ Couns	"J Employ Couns,0.357"
Journal of Applied Biomaterials & Functional Materials	#N/A	Journal Of Applied Biomaterials & Functional Materials	"Journal Of Applied Biomaterials & Functional Materials,1.403"
Medicine Health Care and Philosophy	#N/A	Medicine Health Care And Philosophy	"Medicine Health Care And Philosophy,1.450"
Security and Communication Networks	#N/A	Security And Communication Networks	"Security And Communication Networks,1.376"
CLINICAL NEPHROLOGY	Clin. Nephrol.	Clin Nephrol	"Clin Nephrol,1.079"
INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS	#N/A	Int J Commun Syst	"Int J Commun Syst,1.278"
MEDICAL HYPOTHESES	Med. Hypotheses	Med Hypotheses	"Med Hypotheses,1.322"
Technology Pedagogy and Education	#N/A	Technology Pedagogy And Education	"Technology Pedagogy And Education,1.712"
International Journal of Plant Production	#N/A	International Journal Of Plant Production	"International Journal Of Plant Production,0.961"
Natural Language Engineering	#N/A	Natural Language Engineering	"Natural Language Engineering,1.130"
Natural Language Engineering	#N/A	Natural Language Engineering	"Natural Language Engineering,1.130"
Operational Research	#N/A	Operational Research	"Operational Research,1.485"
CHINESE MEDICAL JOURNAL	Chin. Med. J.	Chin Med J	"Chin Med J,1.555"
Cardiovascular Engineering and Technology	Cardiovasc. Eng. Technol.	Cardiovasc Eng Technol	"Cardiovasc Eng Technol,1.776"
JOURNAL OF CRUSTACEAN BIOLOGY	J. Crust. Biol.	J Crustacean Biol	"J Crustacean Biol,1.069"
JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS	#N/A	J Math Anal Appl	"J Math Anal Appl,1.188"
SCHOOL PSYCHOLOGY REVIEW	School Psych. Rev.	School Psych Rev	"School Psych Rev,1.353"
SCIENCE OF COMPUTER PROGRAMMING	#N/A	Sci Comput Program	"Sci Comput Program,1.088"
Profesional de la Informacion	#N/A	Profesional De La Informacion	"Profesional De La Informacion,1.505"
Radiophysics and Quantum Electronics	#N/A	Radiophysics And Quantum Electronics	"Radiophysics And Quantum Electronics,0.755"
WATER AND ENVIRONMENT JOURNAL	#N/A	Water Environ J	"Water Environ J,1.178"
AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH	Am. Indian Alsk. Native Ment. Health Res.	Am Indian Alsk Native Ment Health Res	"Am Indian Alsk Native Ment Health Res,0.579"
CRYPTOGAMIE BRYOLOGIE	#N/A	Cryptogam Bryol	"Cryptogam Bryol,1.095"
Current Nanoscience	#N/A	Curr Nanosci	"Curr Nanosci,1.586"
Dissertationes Mathematicae	#N/A	Dissertationes Mathematicae	"Dissertationes Mathematicae,1.063"
JOURNAL OF BUSINESS AND TECHNICAL COMMUNICATION	#N/A	J Bus Tech Commun	"J Bus Tech Commun,0.900"
Quantitative InfraRed Thermography Journal	#N/A	Quantitative Infrared Thermography Journal	"Quantitative Infrared Thermography Journal,1.162"
IET Communications	#N/A	Iet Communications	"Iet Communications,1.779"
JOURNAL OF ETHOLOGY	J. Ethol.	J Ethol	"J Ethol,1.423"
JOURNAL OF MODERN HISTORY	#N/A	J Mod Hist	"J Mod Hist,0.861"
Journal of Semantics	#N/A	Journal Of Semantics	"Journal Of Semantics,1.773"
RUSSIAN JOURNAL OF MATHEMATICAL PHYSICS	#N/A	Russ J Math Phys	"Russ J Math Phys,0.874"
Reading & Writing Quarterly	#N/A	Reading & Writing Quarterly	"Reading & Writing Quarterly,0.934"
BMC MEDICAL IMAGING	BMC Med. Imaging	BMC Med Imaging	"BMC Med Imaging,1.622"
CAREER DEVELOPMENT QUARTERLY	#N/A	Career Develop Quart	"Career Develop Quart,0.929"
PHASE TRANSITIONS	#N/A	Phase Transit	"Phase Transit,1.026"
QUEUEING SYSTEMS	#N/A	Queueing Syst	"Queueing Syst,0.814"
Review of International Economics	Rev. Int. Econ.	Rev Int Econ	"Rev Int Econ,0.786"
BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT	#N/A	Biotechnol Biotechnol Equip	"Biotechnol Biotechnol Equip,1.097"
DIAGNOSTICA	#N/A	Diagnostica	"Diagnostica,1.047"
HIGH PRESSURE RESEARCH	#N/A	High Pressure Res	"High Pressure Res,1.255"
Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy	#N/A	Revista Brasileira De Farmacognosia-Brazilian Journal Of Pharmacognosy	"Revista Brasileira De Farmacognosia-Brazilian Journal Of Pharmacognosy,1.754"
Vertebrate Zoology	#N/A	Vertebrate Zoology	"Vertebrate Zoology,1.282"
INTERNATIONAL MICROBIOLOGY	Int. Microbiol.	Int Microbiol	"Int Microbiol,1.256"
Journal of Media Psychology-Theories Methods and Applications	#N/A	Journal Of Media Psychology-Theories Methods And Applications	"Journal Of Media Psychology-Theories Methods And Applications,1.514"
AMERICAN JOURNAL OF MATHEMATICS	#N/A	Amer J Math	"Amer J Math,1.527"
Ecquid Novi-African Journalism Studies	#N/A	Ecquid Novi-African Journalism Studies	#N/A
INFORMATICA	#N/A	Informatica	"Informatica,1.928"
International Journal of Accounting Information Systems	#N/A	International Journal Of Accounting Information Systems	"International Journal Of Accounting Information Systems,1.548"
CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE	#N/A	Can J Exp Psychol	"Can J Exp Psychol,1.383"
Hip International	Hip Int.	Hip Int	"Hip Int,1.250"
OPTICAL AND QUANTUM ELECTRONICS	#N/A	Opt Quant Electron	"Opt Quant Electron,1.547"
ORL-Journal for Oto-Rhino-Laryngology Head and Neck Surgery	#N/A	Orl-Journal For Oto-Rhino-Laryngology Head And Neck Surgery	"Orl-Journal For Oto-Rhino-Laryngology Head And Neck Surgery,1.052"
CHEMICAL SPECIATION AND BIOAVAILABILITY	Chem. Spec. Bioavail.	Chem Spec Bioavail	"Chem Spec Bioavail,1.800"
CHILD & YOUTH CARE FORUM	#N/A	Child Youth Care Forum	"Child Youth Care Forum,1.469"
CONSTRAINTS	#N/A	Constraints	"Constraints,1.106"
Childrens Geographies	#N/A	Childrens Geographies	"Childrens Geographies,1.439"
SURVIVAL	#N/A	Survival	"Survival,1.264"
Computational Economics	#N/A	Computational Economics	"Computational Economics,1.185"
Computational Economics	#N/A	Computational Economics	"Computational Economics,1.185"
Estonian Journal of Earth Sciences	#N/A	Estonian Journal Of Earth Sciences	"Estonian Journal Of Earth Sciences,0.825"
European Journal of Dental Education	Eur. J. Dent. Educ.	Eur J Dent Educ	"Eur J Dent Educ,1.531"
International Journal of Architectural Heritage	#N/A	International Journal Of Architectural Heritage	"International Journal Of Architectural Heritage,1.440"
International Journal of Computational Methods	#N/A	International Journal Of Computational Methods	"International Journal Of Computational Methods,1.221"
JOURNAL OF APPLIED BIOMECHANICS	J. Appl. Biomech.	J Appl Biomech	"J Appl Biomech,1.392"
MACHINING SCIENCE AND TECHNOLOGY	#N/A	Mach Sci Technol	"Mach Sci Technol,1.716"
Natural Language Semantics	#N/A	Natural Language Semantics	"Natural Language Semantics,1.381"
POLITICAL RESEARCH QUARTERLY	#N/A	Polit Res Quart	"Polit Res Quart,1.581"
REVIEW OF ECONOMIC DYNAMICS	#N/A	Rev Econ Dyn	"Rev Econ Dyn,1.580"
ZYGOTE	Zygote	Zygote	"Zygote,1.278"
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE	#N/A	Can J Agr Econ-Rev Can Agroec	"Can J Agr Econ-Rev Can Agroec,0.950"
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE	#N/A	Can J Agr Econ-Rev Can Agroec	"Can J Agr Econ-Rev Can Agroec,0.950"
CLAY MINERALS	#N/A	Clay Miner	"Clay Miner,1.787"
DEVIANT BEHAVIOR	#N/A	Deviant Behav	"Deviant Behav,1.490"
IEEE TRANSACTIONS ON PLASMA SCIENCE	#N/A	Ieee Trans Plasma Sci	"Ieee Trans Plasma Sci,1.325"
REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO	#N/A	Rev Inst Med Trop Sao Paulo	"Rev Inst Med Trop Sao Paulo,1.322"
TEACHING AND LEARNING IN MEDICINE	Teach. Learn. Med.	Teach Learn Med	"Teach Learn Med,2.216"
Asia Pacific Journal of Tourism Research	#N/A	Asia Pacific Journal Of Tourism Research	"Asia Pacific Journal Of Tourism Research,1.444"
BRITISH JOURNAL OF NEUROSURGERY	Br. J. Neurosurg.	Br J Neurosurg	"Br J Neurosurg,1.481"
BULLETIN OF INSECTOLOGY	Bull. Insectol.	Bull Insectol	"Bull Insectol,1.062"
Frontiers of Earth Science	#N/A	Frontiers Of Earth Science	"Frontiers Of Earth Science,1.205"
International Journal of Paleopathology	#N/A	International Journal Of Paleopathology	"International Journal Of Paleopathology,1.301"
JOURNAL OF FIRE SCIENCES	J. Fire Sci.	J Fire Sci	"J Fire Sci,1.155"
NETHERLANDS JOURNAL OF GEOSCIENCES-GEOLOGIE EN MIJNBOUW	#N/A	Netherlands Journal Of Geosciences-Geologie En Mijnbouw	"Netherlands Journal Of Geosciences-Geologie En Mijnbouw,0.704"
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART I-JOURNAL OF SYSTEMS AND CONTROL ENGINEERING	#N/A	Proc Inst Mech Eng I-J Syst C	"Proc Inst Mech Eng I-J Syst C,1.166"
SURGICAL AND RADIOLOGIC ANATOMY	Surg. Radiol. Anat.	Surg Radiol Anat	"Surg Radiol Anat,1.039"
i-Perception	#N/A	I-Perception	"I-Perception,1.367"
ALLELOPATHY JOURNAL	#N/A	Allelopathy J	"Allelopathy J,0.729"
INFORMATION AND COMPUTATION	#N/A	Inform Comput	"Inform Comput,0.830"
International Journal of Biomathematics	#N/A	International Journal Of Biomathematics	"International Journal Of Biomathematics,0.894"
MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY	#N/A	Merrill-Palmer Quart-J Devel	"Merrill-Palmer Quart-J Devel,0.667"
ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS	#N/A	Ann Inst Statist Math	"Ann Inst Statist Math,0.772"
TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL	#N/A	Trans Inst Measure Control	"Trans Inst Measure Control,1.956"
VETERINARY CLINICAL PATHOLOGY	Vet. Clin. Pathol.	Vet Clin Pathol	"Vet Clin Pathol,0.948"
COMBINATORICA	#N/A	Combinatorica	"Combinatorica,1.143"
Hellenic Journal of Nuclear Medicine	Hell. J. Nucl. Med.	Hell J Nucl Med	"Hell J Nucl Med,0.943"
IET Systems Biology	IET Syst. Biol.	IET Syst Biol	"IET Syst Biol,1.392"
International Journal of Applied Ceramic Technology	#N/A	Int J Appl Ceram Technol	"Int J Appl Ceram Technol,1.074"
Journal of Power Electronics	#N/A	Journal Of Power Electronics	"Journal Of Power Electronics,0.901"
MEASUREMENT AND EVALUATION IN COUNSELING AND DEVELOPMENT	#N/A	Meas Eval Couns Develop	"Meas Eval Couns Develop,1.089"
TURKISH JOURNAL OF BOTANY	#N/A	Turkish Journal Of Botany	"Turkish Journal Of Botany,1.087"
JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	J. Asia-Pacif. Entomol.	J Asia-Pacif Entomol	"J Asia-Pacif Entomol,0.967"
LATIN AMERICAN POLITICS AND SOCIETY	#N/A	Latin Am Polit Sci	"Latin Am Polit Sci,0.796"
Small-Scale Forestry	#N/A	Small-Scale Forestry	"Small-Scale Forestry,1.731"
Theoretical and Experimental Plant Physiology	#N/A	Theoretical And Experimental Plant Physiology	"Theoretical And Experimental Plant Physiology,1.532"
VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE	#N/A	Vet Clin N Amer-Small Anim	"Vet Clin N Amer-Small Anim,1.271"
Advances in Condensed Matter Physics	#N/A	Advances In Condensed Matter Physics	"Advances In Condensed Matter Physics,0.653"
FISCAL STUDIES	#N/A	Fisc Stud	"Fisc Stud,1.164"
IET Image Processing	#N/A	Iet Image Processing	"Iet Image Processing,2.004"
JOURNAL OF EARTHQUAKE ENGINEERING	J. Earthquake Eng.	J Earthquake Eng	"J Earthquake Eng,2.754"
JOURNAL OF AMERICAN HISTORY	#N/A	J Amer Hist	"J Amer Hist,0.735"
JOURNAL OF PORPHYRINS AND PHTHALOCYANINES	#N/A	J Porphyr Phthalocya	"J Porphyr Phthalocya,1.292"
Atencion Primaria	Aten. Primaria	Aten Primaria	"Aten Primaria,1.346"
Journal of Integrative Agriculture	#N/A	Journal Of Integrative Agriculture	"Journal Of Integrative Agriculture,1.337"
ZEITSCHRIFT FUR KINDER-UND JUGENDPSYCHIATRIE UND PSYCHOTHERAPIE	#N/A	Z Kinder Jugendpsychiat	"Z Kinder Jugendpsychiat,0.707"
BIOTECHNIC & HISTOCHEMISTRY	#N/A	Biotech Histochem	"Biotech Histochem,0.948"
Central European Journal of Energetic Materials	#N/A	Central European Journal Of Energetic Materials	"Central European Journal Of Energetic Materials,1.098"
FORMAL ASPECTS OF COMPUTING	#N/A	Form Asp Comput	"Form Asp Comput,0.784"
JOURNAL OF INTELLECTUAL & DEVELOPMENTAL DISABILITY	J. Intellect. Dev. Disabil.	J Intellect Dev Disabil	"J Intellect Dev Disabil,1.467"
JOURNAL OF TROPICAL ECOLOGY	J. Trop. Ecol.	J Trop Ecol	"J Trop Ecol,1.194"
JOURNAL OF WATER AND HEALTH	J. Water Health	J Water Health	"J Water Health,1.683"
Moscow Mathematical Journal	#N/A	Moscow Mathematical Journal	"Moscow Mathematical Journal,0.746"
ACTA CHIROPTEROLOGICA	#N/A	Acta Chiropt	"Acta Chiropt,1.569"
ANAESTHESIST	Anaesthesist	Anaesthesist	"Anaesthesist,0.904"
Frontiers of Computer Science	#N/A	Frontiers Of Computer Science	"Frontiers Of Computer Science,1.129"
REVUE NEUROLOGIQUE	Rev. Neurol. (Paris)	Rev Neurol (Paris)	"Rev Neurol (Paris),2.177"
Career Development International	#N/A	Career Development International	"Career Development International,1.561"
Hypatia-A Journal of Feminist Philosophy	#N/A	Hypatia-A Journal Of Feminist Philosophy	"Hypatia-A Journal Of Feminist Philosophy,0.778"
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY	#N/A	International Journal Of Osteoarchaeology	"International Journal Of Osteoarchaeology,1.180"
JOURNAL OF EVOLUTION EQUATIONS	#N/A	J Evol Equ	"J Evol Equ,1.181"
JOURNAL OF SPORT & SOCIAL ISSUES	#N/A	J Sport Soc Issues	"J Sport Soc Issues,1.308"
JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM	J. Mar. Biol. Assoc. U.K.	J Mar Biol Assoc UK	"J Mar Biol Assoc UK,1.578"
POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY	#N/A	Pop Stud-J Demogr	"Pop Stud-J Demogr,1.702"
TURKISH JOURNAL OF BIOLOGY	#N/A	Turkish Journal Of Biology	"Turkish Journal Of Biology,0.662"
ZOOMORPHOLOGY	Zoomorphology	Zoomorphology	"Zoomorphology,1.143"
ASSISTIVE TECHNOLOGY	Assist. Technol.	Assist Technol	"Assist Technol,1.264"
Clinical Psychologist	Clin. Psychol.	Clin Psychol	"Clin Psychol,1.293"
Clinical Psychologist	Clin. Psychol.	Clin Psychol	"Clin Psychol,1.293"
IET Information Security	#N/A	Iet Information Security	"Iet Information Security,0.949"
INFANT AND CHILD DEVELOPMENT	#N/A	Infant Child Dev	"Infant Child Dev,1.215"
International Journal of Design	#N/A	International Journal Of Design	"International Journal Of Design,1.576"
International Journal of Design	#N/A	International Journal Of Design	"International Journal Of Design,1.576"
PSYCHIATRIC REHABILITATION JOURNAL	#N/A	Psychiatr Rehabil J	"Psychiatr Rehabil J,2.270"
WORLDS POULTRY SCIENCE JOURNAL	#N/A	World Poultry Sci J	"World Poultry Sci J,1.364"
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT	#N/A	Int J Technol Manage	"Int J Technol Manage,1.160"
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT	#N/A	Int J Technol Manage	"Int J Technol Manage,1.160"
ISRAEL MEDICAL ASSOCIATION JOURNAL	Isr. Med. Assoc. J.	Isr Med Assoc J	"Isr Med Assoc J,0.828"
LABOUR ECONOMICS	#N/A	Labour Econ	"Labour Econ,1.327"
Revue Roumaine des Sciences Techniques-Serie Electrotechnique et Energetique	#N/A	Revue Roumaine Des Sciences Techniques-Serie Electrotechnique Et Energetique	"Revue Roumaine Des Sciences Techniques-Serie Electrotechnique Et Energetique,0.763"
Mathematical Biosciences and Engineering	#N/A	Math Biosci Eng	"Math Biosci Eng,1.313"
Ad Hoc & Sensor Wireless Networks	#N/A	Ad Hoc & Sensor Wireless Networks	"Ad Hoc & Sensor Wireless Networks,0.948"
European Journal of International Law	Eur. J. Int. Law	Eur J Int Law	"Eur J Int Law,1.810"
JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT	J. Psychoeduc. Assess.	J Psychoeduc Assess	"J Psychoeduc Assess,1.404"
PEDIATRIC EMERGENCY CARE	Pediatr. Emerg. Care	Pediatr Emerg Care	"Pediatr Emerg Care,1.119"
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE	#N/A	Syst Res Behav Sci	"Syst Res Behav Sci,1.052"
AMERICAN JOURNAL OF OTOLARYNGOLOGY	Am. J. Otolaryngol.	Am J Otolaryngol	"Am J Otolaryngol,0.932"
INVERSE PROBLEMS IN SCIENCE AND ENGINEERING	#N/A	Inverse Prob Sci Eng	"Inverse Prob Sci Eng,1.464"
Journal of Software-Evolution and Process	#N/A	Journal Of Software-Evolution And Process	"Journal Of Software-Evolution And Process,1.305"
Research Papers in Education	#N/A	Research Papers In Education	"Research Papers In Education,1.109"
Research in Social Stratification and Mobility	#N/A	Research In Social Stratification And Mobility	"Research In Social Stratification And Mobility,1.611"
JOURNAL OF COMPUTATIONAL BIOLOGY	J. Comput. Biol.	J Comput Biol	"J Comput Biol,0.879"
ARKIVOC	#N/A	Arkivoc	"Arkivoc,1.253"
